,produktionsslag,Brutto 1986,Brutto 1987,Brutto 1988,Brutto 1989,Brutto 1990,Brutto 1991,Brutto 1992,Brutto 1993,Brutto 1994,Brutto 1995,Brutto 1996,Brutto 1997,Brutto 1998,Brutto 1999,Brutto 2000,Brutto 2001,Brutto 2002,Brutto 2003,Brutto 2004,Brutto 2005,Brutto 2006,Brutto 2007,Brutto 2008,Brutto 2009,Brutto 2010,Brutto 2011,Brutto 2012,Brutto 2013,Brutto 2014,Brutto 2015,Brutto 2016,Brutto 2017,Brutto 2018,Brutto 2019,Brutto 2020,Brutto 2021,Netto 1986,Netto 1987,Netto 1988,Netto 1989,Netto 1990,Netto 1991,Netto 1992,Netto 1993,Netto 1994,Netto 1995,Netto 1996,Netto 1997,Netto 1998,Netto 1999,Netto 2000,Netto 2001,Netto 2002,Netto 2003,Netto 2004,Netto 2005,Netto 2006,Netto 2007,Netto 2008,Netto 2009,Netto 2010,Netto 2011,Netto 2012,Netto 2013,Netto 2014,Netto 2015,Netto 2016,Netto 2017,Netto 2018,Netto 2019,Netto 2020,Netto 2021,Egenanv�ndning 1986,Egenanv�ndning 1987,Egenanv�ndning 1988,Egenanv�ndning 1989,Egenanv�ndning 1990,Egenanv�ndning 1991,Egenanv�ndning 1992,Egenanv�ndning 1993,Egenanv�ndning 1994,Egenanv�ndning 1995,Egenanv�ndning 1996,Egenanv�ndning 1997,Egenanv�ndning 1998,Egenanv�ndning 1999,Egenanv�ndning 2000,Egenanv�ndning 2001,Egenanv�ndning 2002,Egenanv�ndning 2003,Egenanv�ndning 2004,Egenanv�ndning 2005,Egenanv�ndning 2006,Egenanv�ndning 2007,Egenanv�ndning 2008,Egenanv�ndning 2009,Egenanv�ndning 2010,Egenanv�ndning 2011,Egenanv�ndning 2012,Egenanv�ndning 2013,Egenanv�ndning 2014,Egenanv�ndning 2015,Egenanv�ndning 2016,Egenanv�ndning 2017,Egenanv�ndning 2018,Egenanv�ndning 2019,Egenanv�ndning 2020,Egenanv�ndning 2021,anv�ndningsomr�de,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"permanenta bost�der, sm�hus med enbart elv�rme",,,,,,,,17040,17598,17402,..,..,..,..,..,..,..,..,..,..,0.0,0.0,0.0,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"permanenta bost�der, sm�hus med elv�rme i komb. med andra energislag",,,,,,,,5229,5163,4988,..,..,..,..,..,..,..,..,..,..,0.0,0.0,0.0,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"permanenta bost�der, sm�hus utan elv�rme",,,,,,,,4341,4443,4454,..,..,..,..,..,..,..,..,..,..,0.0,0.0,0.0,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"permanenta bost�der, flerbostadshus, direktlev. med f�rbrukning �ver 5 000 kWh",,,,,,,,..,..,..,875,1061,1076,1034,935,1020,922,964,1040,1121,1196.0,1131.0,1131.0,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"permanenta bost�der, flerbostadshus, direktlev. med f�rbrukning h�gst 5 000 kWh",,,,,,,,..,..,..,4426,4380,4209,4268,4339,4471,4362,4478,4438,4406,4441.0,4347.0,4347.0,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"permanenta bost�der, flerbostadshus med elv�rme, direktleveranser",,,,,,,,810,823,807,..,..,..,..,..,..,..,..,..,..,0.0,0.0,0.0,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"permanenta bost�der, flerbostadshus utan elv�rme, direktleveranser",,,,,,,,4353,4354,4552,..,..,..,..,..,..,..,..,..,..,0.0,0.0,0.0,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"permanenta bost�der, flerbostadshus, kollektivleveranser",,,,,,,,1027,947,942,835,818,719,676,540,573,542,594,510,475,517.0,537.0,516.0,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fritidsbost�der,,,,,,,,2392,2528,2476,2357,2454,2512,2457,2526,2735,2782,2731,2357,2348,2365.0,2289.0,2320.0,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,summa slutlig f�rbrukning inom landet exkl. f�rluster,,,,,,,,130599,129616,132387,132300,132102,132940,132718,135456,138542,136709,134663,135695,135230,135503.0,135332.0,133544.0,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stamn�tsf�rluster,,,,,,,,2595,1822,2230,2110,2478,2519,2400,3100,2841,2801,2569,2763,3341,2509.0,2577.0,2898.0,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f�rluster exkl stamn�tsf�rluster,,,,,,,,7432,7213,7829,8236,7952,8416,8170,7994,8961,9082,8132,8261,9016,8276.0,8313.0,7558.0,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,summa slutlig f�rbrukning inom landet inkl. f�rluster,,,,,,,,140626,138650,142446,142645,142532,143875,143288,146550,150345,148592,145364,146720,147587,146289.0,146202.0,144000.0,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,summa f�rbrukad el,,,,,,,,,,,,,,,,,,156821,164470,169558,157786.0,160937.0,158716.0,146971.0,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,export,,,,,,,,,,,,,,,,,,11457,17750,21971,11497.0,14735.0,14716.0,9085.0,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jord- o. skogsbruk o. fiske j�mte anslutna hush�ll med f�rbr. �ver 20 000 kWh, SNI2002 jmf. 01, 02 och 05",,,,,,,,,,,,,,,,,,1917,1945,2462,2079.0,1890.0,1644.0,2072.0,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jord- o. skogsbruk o. fiske j�mte anslutna hush�ll med f�rbr. h�gst 20 000 kWh, SNI2002 jmf. 01, 02 och 05",,,,,,,,,,,,,,,,,,1176,1165,1350,1173.0,1077.0,1004.0,973.0,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"tillverkningsindustri och utvinning av mineraler, SNI2002 jmf. 10-37",,,,,,,,,,,,,,,,,,55301,56228,56698,57406.0,57944.0,56625.0,50657.0,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"elf�rs�rjning kontor, lager o.d., SNI2002 jmf. 40.1",,,,,,,,,,,,,,,,,,237,0,250,157.0,183.0,113.0,131.0,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"gasf�rs�rjning, SNI2002 jmf. 40.2",,,,,,,,,,,,,,,,,,78,74,62,76.0,66.0,76.0,131.0,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"�ng och hetvattenf�rs�rjning, v�rmeverksdrift, SNI2002 jmf. 40.3",,,,,,,,,,,,,,,,,,1802,1885,1661,1714.0,1879.0,1906.0,1983.0,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"�ng och hetvattenf�rs�rjning, elpannor och v�rmepumpar, SNI2002 jmf. 40.3",,,,,,,,,,,,,,,,,,2516,2355,2086,1870.0,2246.0,1721.0,1634.0,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gatu- och v�gbelysning,,,,,,,,,,,,,,,,,,943,995,851,870.0,753.0,637.0,746.0,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vattenverk och avloppsrening, SNI2002 jmf. 41 och 90",,,,,,,,,,,,,,,,,,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"avfallshantering och renh�llning, SNI2002 jmf. 90",,,,,,,,,,,,,,,,,,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vattenverk, SNI2002 jmf. 41 ",,,,,,,,,,,,,,,,,,716,693,643,644.0,612.0,572.0,556.0,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"avloppsrening, avfallshantering och renh�llning, SNI2002 jmf. 90",,,,,,,,,,,,,,,,,,682,701,690,715.0,702.0,757.0,726.0,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"byggnads- och anl�ggningsverksamhet, SNI2002 jmf. 45",,,,,,,,,,,,,,,,,,806,805,803,873.0,880.0,942.0,1074.0,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"partihandel utom med motorfordon, SNI2002 jmf. 51",,,,,,,,,,,,,,,,,,1370,1341,1344,1344.0,1375.0,1305.0,1325.0,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"detaljhandel samt handel och service av motorfordon, SNI2002 jmf. 50 och 52",,,,,,,,,,,,,,,,,,4544,4526,4386,4470.0,4519.0,4514.0,4445.0,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"hotell- och restaurangverksamhet, SNI2002 jmf. 55",,,,,,,,,,,,,,,,,,1393,1431,1445,1458.0,1481.0,1674.0,1599.0,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"j�rnv�gstransport och kollektivtrafikverksamhet, SNI2002 jmf. 60.1-60.211",,,,,,,,,,,,,,,,,,2838,2989,2818,2885.0,2864.0,2745.0,2442.0,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"annan typ av transport och st�dtj�nster till transporter, SNI2002 jmf. 60.212, 60.22-60.24 och 61-63",,,,,,,,,,,,,,,,,,931,1029,998,1007.0,968.0,1049.0,914.0,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"post och telekommunikation, SNI2002 jmf. 64",,,,,,,,,,,,,,,,,,717,739,721,740.0,823.0,867.0,451.0,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"bank- och f�rs�kringsverksamhet, SNI2002 jmf. 65-67",,,,,,,,,,,,,,,,,,477,525,586,539.0,522.0,542.0,510.0,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"fastighetsf�rvaltning, bostadsfastigheter, SNI2002 jmf. 70 ",,,,,,,,,,,,,,,,,,7219,7049,5967,5487.0,5773.0,5536.0,5910.0,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"fastighetsf�rvaltning, fastigheter exklusive bostadsfastigheter, SNI2002 jmf. 70",,,,,,,,,,,,,,,,,,1496,2034,3619,3919.0,4303.0,4796.0,5081.0,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"uthyrning, ADB och andra f�retagstj�nster, SNI2002 jmf. 71, 72 och 74",,,,,,,,,,,,,,,,,,1497,1366,1404,1423.0,1347.0,1458.0,1298.0,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"offentlig f�rvaltning, SNI2002 jmf. 75",,,,,,,,,,,,,,,,,,1756,1799,1532,1475.0,1555.0,1077.0,1004.0,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"utbildning, forskning och utveckling, SNI2002 jmf. 80 och 73",,,,,,,,,,,,,,,,,,2284,2417,2289,2260.0,2111.0,2590.0,2548.0,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"h�lso- och sjukv�rd, sociala tj�nster o.d., SNI2002 jmf. 85",,,,,,,,,,,,,,,,,,3230,3358,3399,3310.0,3266.0,3353.0,2789.0,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"intressebevakning och personliga tj�nster, SNI2002 jmf. 91, 93 och 96",,,,,,,,,,,,,,,,,,999,970,1022,1020.0,1000.0,1054.0,855.0,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sport, fritid och kultur, SNI2002 jmf. 92",,,,,,,,,,,,,,,,,,2014,1836,1722,1782.0,1736.0,1516.0,1974.0,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"permanenta bost�der, sm�hus med f�rbrukning �ver 10 000 kWh",,,,,,,,,,,,,,,,,,21156,21046,20282,20712.0,19643.0,20024.0,20363.0,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"permanenta bost�der, sm�hus med f�rbrukning h�gst 10 000 kWh",,,,,,,,,,,,,,,,,,5819,5799,5792,5576.0,5510.0,5144.0,4498.0,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"permanenta bost�der, sm�hus med enbart elv�rme",,,,,,,,,,,,,,,,,,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"permanenta bost�der, sm�hus med elv�rme i komb. med andra energislag",,,,,,,,,,,,,,,,,,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"permanenta bost�der, sm�hus utan elv�rme",,,,,,,,,,,,,,,,,,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"permanenta bost�der, flerbostadshus, direktlev. med f�rbrukning �ver 5 000 kWh",,,,,,,,,,,,,,,,,,964,1040,1121,1196.0,1131.0,1131.0,1396.0,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"permanenta bost�der, flerbostadshus, direktlev. med f�rbrukning h�gst 5 000 kWh",,,,,,,,,,,,,,,,,,4478,4438,4406,4441.0,4347.0,4347.0,4203.0,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"permanenta bost�der, flerbostadshus med elv�rme, direktleveranser",,,,,,,,,,,,,,,,,,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"permanenta bost�der, flerbostadshus utan elv�rme, direktleveranser",,,,,,,,,,,,,,,,,,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"permanenta bost�der, flerbostadshus, kollektivleveranser",,,,,,,,,,,,,,,,,,594,510,475,517.0,537.0,516.0,476.0,,,,,,,,,,,
